batch,wafer_id,die_x,die_y,rc_mohm
w34,w34-01,0,0,53.3
w34,w34-01,0,1,49.9
w34,w34-01,0,2,48.6
w34,w34-01,0,3,52.6
w34,w34-01,0,4,51.1
w34,w34-01,0,5,47.4
w34,w34-01,0,6,51.3
w34,w34-01,0,7,51.8
w34,w34-01,0,8,53.4
w34,w34-01,0,9,50.0
w34,w34-01,1,0,49.0
w34,w34-01,1,1,46.5
w34,w34-01,1,2,44.4
w34,w34-01,1,3,44.2
w34,w34-01,1,4,38.5
w34,w34-01,1,5,42.0
w34,w34-01,1,6,44.5
w34,w34-01,1,7,40.1
w34,w34-01,1,8,45.1
w34,w34-01,1,9,48.1
w34,w34-01,2,0,50.1
w34,w34-01,2,1,46.1
w34,w34-01,2,2,45.9
w34,w34-01,2,3,43.4
w34,w34-01,2,4,43.1
w34,w34-01,2,5,40.3
w34,w34-01,2,6,46.6
w34,w34-01,2,7,41.8
w34,w34-01,2,8,43.1
w34,w34-01,2,9,51.5
w34,w34-01,3,0,53.4
w34,w34-01,3,1,52.4
w34,w34-01,3,2,42.7
w34,w34-01,3,3,44.6
w34,w34-01,3,4,47.0
w34,w34-01,3,5,46.9
w34,w34-01,3,6,43.8
w34,w34-01,3,7,45.3
w34,w34-01,3,8,42.8
w34,w34-01,3,9,50.4
w34,w34-01,4,0,49.1
w34,w34-01,4,1,43.2
w34,w34-01,4,2,46.1
w34,w34-01,4,3,40.9
w34,w34-01,4,4,44.1
w34,w34-01,4,5,43.9
w34,w34-01,4,6,40.6
w34,w34-01,4,7,44.1
w34,w34-01,4,8,47.6
w34,w34-01,4,9,49.7
w34,w34-01,5,0,53.6
w34,w34-01,5,1,44.2
w34,w34-01,5,2,44.9
w34,w34-01,5,3,44.3
w34,w34-01,5,4,45.0
w34,w34-01,5,5,43.9
w34,w34-01,5,6,44.9
w34,w34-01,5,7,43.0
w34,w34-01,5,8,39.9
w34,w34-01,5,9,51.6
w34,w34-01,6,0,49.2
w34,w34-01,6,1,44.1
w34,w34-01,6,2,45.8
w34,w34-01,6,3,46.8
w34,w34-01,6,4,44.9
w34,w34-01,6,5,40.4
w34,w34-01,6,6,46.2
w34,w34-01,6,7,43.7
w34,w34-01,6,8,46.5
w34,w34-01,6,9,50.5
w34,w34-01,7,0,50.1
w34,w34-01,7,1,44.6
w34,w34-01,7,2,44.3
w34,w34-01,7,3,42.9
w34,w34-01,7,4,43.1
w34,w34-01,7,5,46.2
w34,w34-01,7,6,49.0
w34,w34-01,7,7,45.2
w34,w34-01,7,8,47.9
w34,w34-01,7,9,51.9
w34,w34-01,8,0,48.9
w34,w34-01,8,1,46.3
w34,w34-01,8,2,46.8
w34,w34-01,8,3,46.2
w34,w34-01,8,4,44.4
w34,w34-01,8,5,47.5
w34,w34-01,8,6,45.9
w34,w34-01,8,7,42.9
w34,w34-01,8,8,48.0
w34,w34-01,8,9,52.1
w34,w34-01,9,0,50.7
w34,w34-01,9,1,52.2
w34,w34-01,9,2,50.7
w34,w34-01,9,3,49.5
w34,w34-01,9,4,50.4
w34,w34-01,9,5,45.2
w34,w34-01,9,6,51.8
w34,w34-01,9,7,50.1
w34,w34-01,9,8,49.8
w34,w34-01,9,9,44.5
w34,w34-02,0,0,51.1
w34,w34-02,0,1,53.2
w34,w34-02,0,2,48.7
w34,w34-02,0,3,50.4
w34,w34-02,0,4,54.4
w34,w34-02,0,5,52.3
w34,w34-02,0,6,48.6
w34,w34-02,0,7,55.3
w34,w34-02,0,8,52.4
w34,w34-02,0,9,44.8
w34,w34-02,1,0,49.5
w34,w34-02,1,1,43.8
w34,w34-02,1,2,41.8
w34,w34-02,1,3,45.1
w34,w34-02,1,4,44.9
w34,w34-02,1,5,42.8
w34,w34-02,1,6,47.2
w34,w34-02,1,7,46.4
w34,w34-02,1,8,47.9
w34,w34-02,1,9,49.0
w34,w34-02,2,0,48.9
w34,w34-02,2,1,51.6
w34,w34-02,2,2,43.3
w34,w34-02,2,3,41.6
w34,w34-02,2,4,45.6
w34,w34-02,2,5,44.3
w34,w34-02,2,6,43.2
w34,w34-02,2,7,45.8
w34,w34-02,2,8,43.1
w34,w34-02,2,9,51.0
w34,w34-02,3,0,53.7
w34,w34-02,3,1,44.0
w34,w34-02,3,2,49.1
w34,w34-02,3,3,47.4
w34,w34-02,3,4,45.4
w34,w34-02,3,5,45.3
w34,w34-02,3,6,44.7
w34,w34-02,3,7,40.7
w34,w34-02,3,8,39.8
w34,w34-02,3,9,51.8
w34,w34-02,4,0,45.6
w34,w34-02,4,1,45.3
w34,w34-02,4,2,45.8
w34,w34-02,4,3,44.1
w34,w34-02,4,4,40.4
w34,w34-02,4,5,47.8
w34,w34-02,4,6,45.1
w34,w34-02,4,7,45.6
w34,w34-02,4,8,46.1
w34,w34-02,4,9,49.4
w34,w34-02,5,0,49.6
w34,w34-02,5,1,45.9
