batch,wafer_id,die_x,die_y,rc_mohm
w31,w31-01,0,0,40.4
w31,w31-01,0,1,41.2
w31,w31-01,0,2,37.8
w31,w31-01,0,3,39.8
w31,w31-01,0,4,42.3
w31,w31-01,0,5,41.2
w31,w31-01,0,6,40.7
w31,w31-01,0,7,37.1
w31,w31-01,0,8,38.1
w31,w31-01,0,9,39.2
w31,w31-01,1,0,40.0
w31,w31-01,1,1,39.2
w31,w31-01,1,2,41.2
w31,w31-01,1,3,36.4
w31,w31-01,1,4,39.6
w31,w31-01,1,5,37.0
w31,w31-01,1,6,39.4
w31,w31-01,1,7,41.3
w31,w31-01,1,8,41.6
w31,w31-01,1,9,39.8
w31,w31-01,2,0,39.2
w31,w31-01,2,1,39.1
w31,w31-01,2,2,39.9
w31,w31-01,2,3,38.1
w31,w31-01,2,4,42.5
w31,w31-01,2,5,42.7
w31,w31-01,2,6,40.6
w31,w31-01,2,7,43.7
w31,w31-01,2,8,42.4
w31,w31-01,2,9,39.0
w31,w31-01,3,0,43.4
w31,w31-01,3,1,39.7
w31,w31-01,3,2,43.6
w31,w31-01,3,3,39.9
w31,w31-01,3,4,38.9
w31,w31-01,3,5,41.9
w31,w31-01,3,6,37.3
w31,w31-01,3,7,41.9
w31,w31-01,3,8,39.2
w31,w31-01,3,9,42.4
w31,w31-01,4,0,38.7
w31,w31-01,4,1,40.5
w31,w31-01,4,2,38.4
w31,w31-01,4,3,40.8
w31,w31-01,4,4,41.4
w31,w31-01,4,5,39.6
w31,w31-01,4,6,38.4
w31,w31-01,4,7,38.5
w31,w31-01,4,8,39.5
w31,w31-01,4,9,44.8
w31,w31-01,5,0,42.9
w31,w31-01,5,1,43.4
w31,w31-01,5,2,40.7
w31,w31-01,5,3,39.5
w31,w31-01,5,4,41.8
w31,w31-01,5,5,40.3
w31,w31-01,5,6,39.1
w31,w31-01,5,7,40.7
w31,w31-01,5,8,35.7
w31,w31-01,5,9,39.6
w31,w31-01,6,0,39.3
w31,w31-01,6,1,38.9
w31,w31-01,6,2,39.4
w31,w31-01,6,3,39.8
w31,w31-01,6,4,42.4
w31,w31-01,6,5,40.0
w31,w31-01,6,6,41.7
w31,w31-01,6,7,38.8
w31,w31-01,6,8,38.1
w31,w31-01,6,9,41.9
w31,w31-01,7,0,38.9
w31,w31-01,7,1,41.8
w31,w31-01,7,2,39.5
w31,w31-01,7,3,37.6
w31,w31-01,7,4,39.6
w31,w31-01,7,5,36.9
w31,w31-01,7,6,39.2
w31,w31-01,7,7,37.7
w31,w31-01,7,8,36.9
w31,w31-01,7,9,37.4
w31,w31-01,8,0,41.0
w31,w31-01,8,1,40.2
w31,w31-01,8,2,40.8
w31,w31-01,8,3,37.9
w31,w31-01,8,4,41.3
w31,w31-01,8,5,39.1
w31,w31-01,8,6,37.4
w31,w31-01,8,7,37.9
w31,w31-01,8,8,40.7
w31,w31-01,8,9,38.3
w31,w31-01,9,0,43.2
w31,w31-01,9,1,41.8
w31,w31-01,9,2,41.7
w31,w31-01,9,3,41.5
w31,w31-01,9,4,35.4
w31,w31-01,9,5,39.5
w31,w31-01,9,6,41.2
w31,w31-01,9,7,40.5
w31,w31-01,9,8,38.8
w31,w31-01,9,9,41.3
w31,w31-02,0,0,38.9
w31,w31-02,0,1,35.9
w31,w31-02,0,2,42.3
w31,w31-02,0,3,41.2
w31,w31-02,0,4,42.5
w31,w31-02,0,5,39.8
w31,w31-02,0,6,40.8
w31,w31-02,0,7,36.2
w31,w31-02,0,8,39.6
w31,w31-02,0,9,41.6
w31,w31-02,1,0,38.0
w31,w31-02,1,1,40.8
w31,w31-02,1,2,42.0
w31,w31-02,1,3,40.0
w31,w31-02,1,4,40.3
w31,w31-02,1,5,38.6
w31,w31-02,1,6,35.9
w31,w31-02,1,7,42.9
w31,w31-02,1,8,40.0
w31,w31-02,1,9,38.1
w31,w31-02,2,0,38.1
w31,w31-02,2,1,40.3
w31,w31-02,2,2,40.2
w31,w31-02,2,3,39.8
w31,w31-02,2,4,40.3
w31,w31-02,2,5,39.7
w31,w31-02,2,6,37.4
w31,w31-02,2,7,41.0
w31,w31-02,2,8,39.5
w31,w31-02,2,9,43.1
w31,w31-02,3,0,39.4
w31,w31-02,3,1,37.2
w31,w31-02,3,2,40.7
w31,w31-02,3,3,41.3
w31,w31-02,3,4,36.0
w31,w31-02,3,5,35.6
w31,w31-02,3,6,42.1
w31,w31-02,3,7,41.5
w31,w31-02,3,8,41.0
w31,w31-02,3,9,39.5
w31,w31-02,4,0,43.3
w31,w31-02,4,1,38.0
w31,w31-02,4,2,38.0
w31,w31-02,4,3,41.8
w31,w31-02,4,4,38.8
w31,w31-02,4,5,40.7
w31,w31-02,4,6,41.7
w31,w31-02,4,7,37.2
w31,w31-02,4,8,41.1
w31,w31-02,4,9,44.6
w31,w31-02,5,0,38.4
w31,w31-02,5,1,40.1
w31,w31-02,5,2,38.9
w31,w31-02,5,3,40.3
w31,w31-02,5,4,38.4
w31,w31-02,5,5,38.8
w31,w31-02,5,6,38.3
w31,w31-02,5,7,42.3
w31,w31-02,5,8,40.7
w31,w31-02,5,9,41.6
w31,w31-02,6,0,41.1
w31,w31-02,6,1,43.4
w31,w31-02,6,2,43.9
w31,w31-02,6,3,39.3
w31,w31-02,6,4,39.5
w31,w31-02,6,5,38.0
w31,w31-02,6,6,40.5
w31,w31-02,6,7,40.7
w31,w31-02,6,8,41.0
w31,w31-02,6,9,41.0
w31,w31-02,7,0,39.4
w31,w31-02,7,1,42.2
w31,w31-02,7,2,40.3
w31,w31-02,7,3,42.6
w31,w31-02,7,4,37.0
w31,w31-02,7,5,43.3
w31,w31-02,7,6,41.2
w31,w31-02,7,7,36.8
w31,w31-02,7,8,41.3
w31,w31-02,7,9,41.2
w31,w31-02,8,0,36.8
w31,w31-02,8,1,37.9
w31,w31-02,8,2,38.7
w31,w31-02,8,3,37.8
w31,w31-02,8,4,37.5
w31,w31-02,8,5,37.4
w31,w31-02,8,6,40.2
w31,w31-02,8,7,40.7
w31,w31-02,8,8,38.1
w31,w31-02,8,9,41.5
w31,w31-02,9,0,41.4
w31,w31-02,9,1,39.4
