batch,wafer_id,die_x,die_y,rc_mohm
w33,w33-01,0,0,37.2
w33,w33-01,0,1,38.9
w33,w33-01,0,2,42.6
w33,w33-01,0,3,39.4
w33,w33-01,0,4,40.3
w33,w33-01,0,5,40.5
w33,w33-01,0,6,38.4
w33,w33-01,0,7,38.0
w33,w33-01,0,8,43.0
w33,w33-01,0,9,40.7
w33,w33-01,1,0,42.7
w33,w33-01,1,1,42.5
w33,w33-01,1,2,41.5
w33,w33-01,1,3,39.6
w33,w33-01,1,4,40.9
w33,w33-01,1,5,43.1
w33,w33-01,1,6,38.6
w33,w33-01,1,7,40.6
w33,w33-01,1,8,40.6
w33,w33-01,1,9,41.8
w33,w33-01,2,0,39.7
w33,w33-01,2,1,42.0
w33,w33-01,2,2,41.0
w33,w33-01,2,3,40.4
w33,w33-01,2,4,43.6
w33,w33-01,2,5,38.0
w33,w33-01,2,6,41.4
w33,w33-01,2,7,40.2
w33,w33-01,2,8,36.5
w33,w33-01,2,9,39.0
w33,w33-01,3,0,40.8
w33,w33-01,3,1,39.6
w33,w33-01,3,2,41.3
w33,w33-01,3,3,39.9
w33,w33-01,3,4,38.4
w33,w33-01,3,5,43.3
w33,w33-01,3,6,38.2
w33,w33-01,3,7,35.2
w33,w33-01,3,8,35.8
w33,w33-01,3,9,38.9
w33,w33-01,4,0,40.1
w33,w33-01,4,1,36.1
w33,w33-01,4,2,37.8
w33,w33-01,4,3,41.9
w33,w33-01,4,4,39.8
w33,w33-01,4,5,39.9
w33,w33-01,4,6,37.2
w33,w33-01,4,7,38.5
w33,w33-01,4,8,40.5
w33,w33-01,4,9,40.0
w33,w33-01,5,0,40.9
w33,w33-01,5,1,40.9
w33,w33-01,5,2,39.2
w33,w33-01,5,3,36.6
w33,w33-01,5,4,38.7
w33,w33-01,5,5,40.0
w33,w33-01,5,6,37.0
w33,w33-01,5,7,39.9
w33,w33-01,5,8,40.0
w33,w33-01,5,9,42.2
w33,w33-01,6,0,40.3
w33,w33-01,6,1,41.0
w33,w33-01,6,2,39.8
w33,w33-01,6,3,43.6
w33,w33-01,6,4,40.8
w33,w33-01,6,5,38.8
w33,w33-01,6,6,44.0
w33,w33-01,6,7,39.8
w33,w33-01,6,8,38.8
w33,w33-01,6,9,40.0
w33,w33-01,7,0,39.2
w33,w33-01,7,1,39.9
w33,w33-01,7,2,39.8
w33,w33-01,7,3,39.6
w33,w33-01,7,4,35.6
w33,w33-01,7,5,40.7
w33,w33-01,7,6,38.7
w33,w33-01,7,7,39.6
w33,w33-01,7,8,40.5
w33,w33-01,7,9,44.4
w33,w33-01,8,0,40.2
w33,w33-01,8,1,37.1
w33,w33-01,8,2,39.9
w33,w33-01,8,3,38.7
w33,w33-01,8,4,38.6
w33,w33-01,8,5,39.7
w33,w33-01,8,6,41.7
w33,w33-01,8,7,39.4
w33,w33-01,8,8,41.3
w33,w33-01,8,9,41.3
w33,w33-01,9,0,38.0
w33,w33-01,9,1,40.6
w33,w33-01,9,2,41.1
w33,w33-01,9,3,42.6
w33,w33-01,9,4,34.2
w33,w33-01,9,5,39.1
w33,w33-01,9,6,39.6
w33,w33-01,9,7,37.2
w33,w33-01,9,8,41.9
w33,w33-01,9,9,36.3
w33,w33-02,0,0,39.2
w33,w33-02,0,1,38.1
w33,w33-02,0,2,39.4
w33,w33-02,0,3,35.5
w33,w33-02,0,4,35.6
w33,w33-02,0,5,43.3
w33,w33-02,0,6,39.9
w33,w33-02,0,7,38.0
w33,w33-02,0,8,37.7
w33,w33-02,0,9,40.0
w33,w33-02,1,0,40.4
w33,w33-02,1,1,42.3
w33,w33-02,1,2,40.3
w33,w33-02,1,3,40.4
w33,w33-02,1,4,42.5
w33,w33-02,1,5,40.3
w33,w33-02,1,6,40.7
w33,w33-02,1,7,40.3
w33,w33-02,1,8,39.8
w33,w33-02,1,9,34.3
w33,w33-02,2,0,42.6
w33,w33-02,2,1,40.4
w33,w33-02,2,2,38.1
w33,w33-02,2,3,41.2
w33,w33-02,2,4,37.1
w33,w33-02,2,5,36.1
w33,w33-02,2,6,43.1
